Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
80,17,8,115,2,Some Random Commen with Id 80
81,17,8,2,1,Some Random Commen with Id 81
82,17,8,55,3,Some Random Commen with Id 82
83,17,8,155,6,Some Random Commen with Id 83
84,19,8,178,6,Some Random Commen with Id 84
85,20,0,71,0,Some Random Commen with Id 85
86,20,0,21,0,Some Random Commen with Id 86
87,21,7,62,2,Some Random Commen with Id 87
88,21,7,46,8,Some Random Commen with Id 88
89,22,6,123,8,Some Random Commen with Id 89
90,22,6,185,0,Some Random Commen with Id 90
91,22,6,129,9,Some Random Commen with Id 91
92,22,6,10,6,Some Random Commen with Id 92
93,22,6,143,9,Some Random Commen with Id 93
94,25,7,82,0,Some Random Commen with Id 94
95,25,7,74,4,Some Random Commen with Id 95
96,25,7,121,0,Some Random Commen with Id 96
97,25,7,198,5,Some Random Commen with Id 97
98,26,2,138,0,Some Random Commen with Id 98
99,26,2,180,8,Some Random Commen with Id 99
100,26,2,83,7,Some Random Commen with Id 100
101,26,2,62,5,Some Random Commen with Id 101
102,26,2,57,8,Some Random Commen with Id 102
103,26,2,112,9,Some Random Commen with Id 103
104,26,2,14,5,Some Random Commen with Id 104
105,27,6,148,7,Some Random Commen with Id 105
106,27,6,149,9,Some Random Commen with Id 106
107,27,6,43,3,Some Random Commen with Id 107
108,27,6,79,4,Some Random Commen with Id 108
109,27,6,42,9,Some Random Commen with Id 109
110,29,8,191,9,Some Random Commen with Id 110
111,29,8,102,9,Some Random Commen with Id 111
112,29,8,116,2,Some Random Commen with Id 112
113,29,8,38,3,Some Random Commen with Id 113
114,29,8,134,4,Some Random Commen with Id 114
115,30,0,121,5,Some Random Commen with Id 115
116,30,0,98,6,Some Random Commen with Id 116
117,30,0,61,6,Some Random Commen with Id 117
118,30,0,20,2,Some Random Commen with Id 118
119,30,0,11,7,Some Random Commen with Id 119
120,30,0,40,4,Some Random Commen with Id 120
121,30,0,181,2,Some Random Commen with Id 121
122,30,0,108,5,Some Random Commen with Id 122
123,30,0,77,5,Some Random Commen with Id 123
124,31,8,175,2,Some Random Commen with Id 124
125,31,8,164,8,Some Random Commen with Id 125
126,33,1,106,7,Some Random Commen with Id 126
127,34,4,122,9,Some Random Commen with Id 127
128,34,4,27,7,Some Random Commen with Id 128
129,34,4,124,7,Some Random Commen with Id 129
130,34,4,9,9,Some Random Commen with Id 130
131,34,4,147,3,Some Random Commen with Id 131
132,34,4,178,7,Some Random Commen with Id 132
133,35,7,4,7,Some Random Commen with Id 133
134,35,7,23,9,Some Random Commen with Id 134
135,35,7,113,8,Some Random Commen with Id 135
136,35,7,30,0,Some Random Commen with Id 136
137,36,7,156,5,Some Random Commen with Id 137
138,36,7,123,9,Some Random Commen with Id 138
139,36,7,188,7,Some Random Commen with Id 139
140,37,7,22,5,Some Random Commen with Id 140
141,37,7,197,4,Some Random Commen with Id 141
142,38,1,159,3,Some Random Commen with Id 142
143,38,1,150,8,Some Random Commen with Id 143
144,38,1,149,6,Some Random Commen with Id 144
145,38,1,82,7,Some Random Commen with Id 145
146,38,1,14,4,Some Random Commen with Id 146
147,38,1,118,1,Some Random Commen with Id 147
148,38,1,100,3,Some Random Commen with Id 148
149,38,1,110,8,Some Random Commen with Id 149
150,39,9,11,9,Some Random Commen with Id 150
151,39,9,28,5,Some Random Commen with Id 151
152,39,9,162,2,Some Random Commen with Id 152
153,39,9,3,1,Some Random Commen with Id 153
154,39,9,137,0,Some Random Commen with Id 154
