Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
124,27,7,97,1,Some Random Commen with Id 124
125,28,6,40,1,Some Random Commen with Id 125
126,28,6,151,5,Some Random Commen with Id 126
127,28,6,56,5,Some Random Commen with Id 127
128,28,6,199,7,Some Random Commen with Id 128
129,29,5,94,5,Some Random Commen with Id 129
130,29,5,6,8,Some Random Commen with Id 130
131,29,5,115,6,Some Random Commen with Id 131
132,30,4,135,0,Some Random Commen with Id 132
133,31,3,85,4,Some Random Commen with Id 133
134,31,3,186,4,Some Random Commen with Id 134
135,31,3,189,2,Some Random Commen with Id 135
136,31,3,179,7,Some Random Commen with Id 136
137,31,3,119,6,Some Random Commen with Id 137
138,31,3,135,8,Some Random Commen with Id 138
139,31,3,165,4,Some Random Commen with Id 139
140,32,0,170,9,Some Random Commen with Id 140
141,32,0,24,0,Some Random Commen with Id 141
142,32,0,158,2,Some Random Commen with Id 142
143,32,0,77,7,Some Random Commen with Id 143
144,32,0,11,6,Some Random Commen with Id 144
145,32,0,174,9,Some Random Commen with Id 145
146,33,6,18,3,Some Random Commen with Id 146
147,33,6,174,5,Some Random Commen with Id 147
148,33,6,16,0,Some Random Commen with Id 148
149,33,6,59,4,Some Random Commen with Id 149
150,33,6,16,4,Some Random Commen with Id 150
151,33,6,71,3,Some Random Commen with Id 151
152,33,6,104,6,Some Random Commen with Id 152
153,33,6,190,7,Some Random Commen with Id 153
154,33,6,116,9,Some Random Commen with Id 154
155,35,1,50,3,Some Random Commen with Id 155
156,35,1,57,3,Some Random Commen with Id 156
157,35,1,76,3,Some Random Commen with Id 157
158,35,1,3,3,Some Random Commen with Id 158
159,35,1,18,7,Some Random Commen with Id 159
160,36,3,82,8,Some Random Commen with Id 160
161,36,3,124,5,Some Random Commen with Id 161
162,36,3,134,5,Some Random Commen with Id 162
163,36,3,157,8,Some Random Commen with Id 163
164,36,3,161,7,Some Random Commen with Id 164
165,37,6,165,8,Some Random Commen with Id 165
166,37,6,95,5,Some Random Commen with Id 166
167,37,6,185,5,Some Random Commen with Id 167
168,37,6,50,0,Some Random Commen with Id 168
169,37,6,22,8,Some Random Commen with Id 169
170,37,6,87,9,Some Random Commen with Id 170
171,37,6,40,2,Some Random Commen with Id 171
172,37,6,130,8,Some Random Commen with Id 172
173,38,2,58,3,Some Random Commen with Id 173
174,38,2,66,6,Some Random Commen with Id 174
175,38,2,34,9,Some Random Commen with Id 175
176,38,2,76,5,Some Random Commen with Id 176
177,39,0,42,3,Some Random Commen with Id 177
178,39,0,127,8,Some Random Commen with Id 178
179,39,0,24,3,Some Random Commen with Id 179
180,39,0,159,5,Some Random Commen with Id 180
181,39,0,85,7,Some Random Commen with Id 181
182,39,0,155,5,Some Random Commen with Id 182
183,39,0,14,6,Some Random Commen with Id 183
184,39,0,113,2,Some Random Commen with Id 184
